id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
49,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40 - 44,LAKI-LAKI,92252,JIWA,2020
50,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,40 - 44,PEREMPUAN,94993,JIWA,2020
51,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45 - 49,LAKI-LAKI,86496,JIWA,2020
52,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45 - 49,PEREMPUAN,88841,JIWA,2020
53,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50 - 54,LAKI-LAKI,76033,JIWA,2020
54,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,50 - 54,PEREMPUAN,75963,JIWA,2020
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55 - 59,LAKI-LAKI,63464,JIWA,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55 - 59,PEREMPUAN,61162,JIWA,2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60 - 64,LAKI-LAKI,51261,JIWA,2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,60 - 64,PEREMPUAN,47135,JIWA,2020
59,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65 - 69,LAKI-LAKI,34205,JIWA,2020
60,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65 - 69,PEREMPUAN,28928,JIWA,2020
61,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70 - 74,LAKI-LAKI,18897,JIWA,2020
62,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,70 - 74,PEREMPUAN,18164,JIWA,2020
63,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,75+,LAKI-LAKI,22840,JIWA,2020
64,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,75+,PEREMPUAN,22063,JIWA,2020
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,00 - 04,LAKI-LAKI,100710,JIWA,2020
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,00 - 04,PEREMPUAN,93991,JIWA,2020
67,32,JAWA BARAT,3203,KABUPATEN CIANJUR,05 - 09,LAKI-LAKI,122763,JIWA,2020
68,32,JAWA BARAT,3203,KABUPATEN CIANJUR,05 - 09,PEREMPUAN,116236,JIWA,2020
69,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10 - 14,LAKI-LAKI,114178,JIWA,2020
70,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10 - 14,PEREMPUAN,107527,JIWA,2020
71,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15 - 19,LAKI-LAKI,85016,JIWA,2020
72,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15 - 19,PEREMPUAN,83752,JIWA,2020
73,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20 - 24,LAKI-LAKI,107160,JIWA,2020
74,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20 - 24,PEREMPUAN,98838,JIWA,2020
75,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25 - 29,LAKI-LAKI,99064,JIWA,2020
76,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25 - 29,PEREMPUAN,91498,JIWA,2020
