"No";"Kode Wilayah";"Wilayah";"Tahun";"DATA PENDUDUK HASIL KONSOLIDASI BERSIH ";"";"";"";""
"83";"32. 04. 32";"BALEENDAH";"2020";"255.949";"";"";"";""
"84";"32. 04. 33";"MAJALAYA";"2020";"161.511";"";"";"";""
"85";"32. 04. 34";"SOLOKANJERUK";"2020";"87.392";"";"";"";""
"86";"32. 04. 35";"PASEH";"2020";"136.733";"";"";"";""
"87";"32. 04. 36";"IBUN";"2020";"88.509";"";"";"";""
"88";"32. 04. 37";"SOREANG";"2020";"116.76";"";"";"";""
"89";"32. 04. 38";"PASIRJAMBU";"2020";"92.744";"";"";"";""
"90";"32. 04. 39";"CIWIDEY";"2020";"86.236";"";"";"";""
"91";"32. 04. 40";"RANCABALI";"2020";"51.4";"";"";"";""
"92";"32. 04. 44";"CANGKUANG";"2020";"78.788";"";"";"";""
"93";"32. 04. 46";"KUTAWARINGIN";"2020";"103.789";"";"";"";""
"94";"32. 04. 05";"CILEUNYI";"2021";"173.589";"";"";"";""
"95";"32. 04. 06";"CIMENYAN";"2021";"108.61";"";"";"";""
"96";"32. 04. 07";"CILENGKRANG";"2021";"52.45";"";"";"";""
"97";"32. 04. 08";"BOJONGSOANG";"2021";"106.639";"";"";"";""
"98";"32. 04. 09";"MARGAHAYU";"2021";"118.8";"";"";"";""
"99";"32. 04. 10";"MARGAASIH";"2021";"148.137";"";"";"";""
"100";"32. 04. 11";"KATAPANG";"2021";"129.407";"";"";"";""
"101";"32. 04. 12";"DAYEUHKOLOT";"2021";"104.519";"";"";"";""
"102";"32. 04. 13";"BANJARAN";"2021";"134.214";"";"";"";""
"103";"32. 04. 14";"PAMEUNGPEUK";"2021";"88.264";"";"";"";""
"104";"32. 04. 15";"PANGALENGAN";"2021";"158.495";"";"";"";""
"105";"32. 04. 16";"ARJASARI";"2021";"107.663";"";"";"";""
"106";"32. 04. 17";"CIMAUNG";"2021";"89.363";"";"";"";""
"107";"32. 04. 25";"CICALENGKA";"2021";"124.433";"";"";"";""
"108";"32. 04. 26";"NAGREG";"2021";"59.521";"";"";"";""
"109";"32. 04. 27";"CIKANCUNG";"2021";"99.219";"";"";"";""
"110";"32. 04. 28";"RANCAEKEK";"2021";"184.59";"";"";"";""
"111";"32. 04. 29";"CIPARAY";"2021";"175.313";"";"";"";""
"112";"32. 04. 30";"PACET";"2021";"120.997";"";"";"";""
"113";"32. 04. 31";"KERTASARI";"2021";"72.787";"";"";"";""
"114";"32. 04. 32";"BALEENDAH";"2021";"260.09";"";"";"";""
"115";"32. 04. 33";"MAJALAYA";"2021";"163.308";"";"";"";""
"116";"32. 04. 34";"SOLOKANJERUK";"2021";"88.163";"";"";"";""
"117";"32. 04. 35";"PASEH";"2021";"138.423";"";"";"";""
"118";"32. 04. 36";"IBUN";"2021";"90.026";"";"";"";""
"119";"32. 04. 37";"SOREANG";"2021";"117.738";"";"";"";""
"120";"32. 04. 38";"PASIRJAMBU";"2021";"93.937";"";"";"";""
"121";"32. 04. 39";"CIWIDEY";"2021";"87.156";"";"";"";""
"122";"32. 04. 40";"RANCABALI";"2021";"51.867";"";"";"";""
"123";"32. 04. 44";"CANGKUANG";"2021";"80.075";"";"";"";""
"124";"32. 04. 46";"KUTAWARINGIN";"2021";"105.644";"";"";"";""
"125";"32. 04. 05";"CILEUNYI";"2022";"176.993";"";"";"";""
"126";"32. 04. 06";"CIMENYAN";"2022";"110.062";"";"";"";""
"127";"32. 04. 07";"CILENGKRANG";"2022";"53.733";"";"";"";""
"128";"32. 04. 08";"BOJONGSOANG";"2022";"108.467";"";"";"";""
"129";"32. 04. 09";"MARGAHAYU";"2022";"119.477";"";"";"";""
"130";"32. 04. 10";"MARGAASIH";"2022";"150.374";"";"";"";""
"131";"32. 04. 11";"KATAPANG";"2022";"132.486";"";"";"";""
"132";"32. 04. 12";"DAYEUHKOLOT";"2022";"104.964";"";"";"";""
"133";"32. 04. 13";"BANJARAN";"2022";"136.904";"";"";"";""
"134";"32. 04. 14";"PAMEUNGPEUK";"2022";"91.025";"";"";"";""
"135";"32. 04. 15";"PANGALENGAN";"2022";"161.839";"";"";"";""
"136";"32. 04. 16";"ARJASARI";"2022";"110.511";"";"";"";""
"137";"32. 04. 17";"CIMAUNG";"2022";"91.407";"";"";"";""
"138";"32. 04. 25";"CICALENGKA";"2022";"127.514";"";"";"";""
"139";"32. 04. 26";"NAGREG";"2022";"60.827";"";"";"";""
"140";"32. 04. 27";"CIKANCUNG";"2022";"102.05";"";"";"";""
"141";"32. 04. 28";"RANCAEKEK";"2022";"187.273";"";"";"";""
"142";"32. 04. 29";"CIPARAY";"2022";"178.536";"";"";"";""
"143";"32. 04. 30";"PACET";"2022";"124.594";"";"";"";""
"144";"32. 04. 31";"KERTASARI";"2022";"73.836";"";"";"";""
"145";"32. 04. 32";"BALEENDAH";"2022";"265.873";"";"";"";""
"146";"32. 04. 33";"MAJALAYA";"2022";"165.687";"";"";"";""
"147";"32. 04. 34";"SOLOKANJERUK";"2022";"90.135";"";"";"";""
"148";"32. 04. 35";"PASEH";"2022";"142.834";"";"";"";""
"149";"32. 04. 36";"IBUN";"2022";"92.552";"";"";"";""
"150";"32. 04. 37";"SOREANG";"2022";"119.607";"";"";"";""
"151";"32. 04. 38";"PASIRJAMBU";"2022";"95.561";"";"";"";""
"152";"32. 04. 39";"CIWIDEY";"2022";"89.565";"";"";"";""
"153";"32. 04. 40";"RANCABALI";"2022";"52.905";"";"";"";""
"154";"32. 04. 44";"CANGKUANG";"2022";"82.536";"";"";"";""
"155";"32. 04. 46";"KUTAWARINGIN";"2022";"108.217";"";"";"";""
"156";"32. 04. 05";"CILEUNYI";"2023";"178.729";"";"";"";""
"157";"32. 04. 06";"CIMENYAN";"2023";"110.976";"";"";"";""
"158";"32. 04. 07";"CILENGKRANG";"2023";"54.218";"";"";"";""
"159";"32. 04. 08";"BOJONGSOANG";"2023";"109.483";"";"";"";""
"160";"32. 04. 09";"MARGAHAYU";"2023";"119.384";"";"";"";""
"161";"32. 04. 10";"MARGAASIH";"2023";"151.365";"";"";"";""
"162";"32. 04. 11";"KATAPANG";"2023";"134.793";"";"";"";""
"163";"32. 04. 12";"DAYEUHKOLOT";"2023";"104.955";"";"";"";""
"164";"32. 04. 13";"BANJARAN";"2023";"138.813";"";"";"";""
"165";"32. 04. 14";"PAMEUNGPEUK";"2023";"92.662";"";"";"";""
"166";"32. 04. 15";"PANGALENGAN";"2023";"163.863";"";"";"";""
"167";"32. 04. 16";"ARJASARI";"2023";"112.953";"";"";"";""
"168";"32. 04. 17";"CIMAUNG";"2023";"92.889";"";"";"";""
"169";"32. 04. 25";"CICALENGKA";"2023";"128.288";"";"";"";""
"170";"32. 04. 26";"NAGREG";"2023";"6.134";"";"";"";""
"171";"32. 04. 27";"CIKANCUNG";"2023";"103.601";"";"";"";""
"172";"32. 04. 28";"RANCAEKEK";"2023";"188.301";"";"";"";""
"173";"32. 04. 29";"CIPARAY";"2023";"18.048";"";"";"";""
"174";"32. 04. 30";"PACET";"2023";"126.819";"";"";"";""
"175";"32. 04. 31";"KERTASARI";"2023";"74.511";"";"";"";""
"176";"32. 04. 32";"BALEENDAH";"2023";"270.306";"";"";"";""
"177";"32. 04. 33";"MAJALAYA";"2023";"166.861";"";"";"";""
"178";"32. 04. 34";"SOLOKANJERUK";"2023";"91.086";"";"";"";""
"179";"32. 04. 35";"PASEH";"2023";"143.174";"";"";"";""
"180";"32. 04. 36";"IBUN";"2023";"93.831";"";"";"";""
"181";"32. 04. 37";"SOREANG";"2023";"120.802";"";"";"";""
"182";"32. 04. 38";"PASIRJAMBU";"2023";"96.324";"";"";"";""
"183";"32. 04. 39";"CIWIDEY";"2023";"9.074";"";"";"";""
"184";"32. 04. 40";"RANCABALI";"2023";"53.283";"";"";"";""
"185";"32. 04. 44";"CANGKUANG";"2023";"84.247";"";"";"";""
"186";"32. 04. 46";"KUTAWARINGIN";"2023";"110.095";"";"";"";""
